word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
seeing	1	0	1	0	0	0	0	1	0	3	1	0		0.0
type	0	0	0	0	1	0	0	0	1	2	0	0		0.0
next	0	0	0	0	0	1	1	0	2	4	2	0		0.0
questions	1	1	0	1	0	0	0	0	0	3	2	0		0.0
treat	0	1	0	0	0	0	1	0	1	3	0	0		0.0
job	0	0	0	0	0	0	1	0	1	2	2	0		0.0
niggas	0	0	0	0	1	0	0	1	0	2	1	0		0.0
#rt	0	1	0	0	0	1	1	1	0	4	1	0		0.0
faith	0	1	0	1	0	0	0	0	0	2	2	0		0.0
crazy	0	0	1	0	0	0	2	0	1	4	2	0		0.0
look	0	1	0	0	1	1	1	1	2	7	1	0		0.0
#inspiration	0	1	1	1	0	0	0	0	0	3	1	0		0.0
winter	0	0	0	0	1	0	0	1	0	2	0	0		0.0
that	2	0	0	2	0	0	0	1	0	5	1	0		0.0
ooo	1	0	0	0	2	0	0	0	0	3	3	0		0.0
ladies	0	0	0	1	1	0	0	0	0	2	0	0		0.0
with	1	0	1	3	1	0	2	0	0	8	4	0		0.0
#throwback	1	0	0	0	0	1	0	0	0	2	1	0		0.0
email	0	0	0	0	0	0	0	1	2	3	2	0		0.0
#tv	0	1	1	1	0	0	0	0	0	3	2	0		0.0
partisan	0	0	0	0	0	0	0	2	0	2	0	0		0.0
school	1	0	0	1	1	0	2	1	1	7	0	0		0.0
real	1	1	1	0	0	0	2	0	1	6	1	0		0.0
never	1	2	1	2	4	1	2	4	2	19	7	0		0.0
main	0	0	0	0	0	0	1	0	1	2	0	0		0.0
filled	0	1	0	0	0	0	0	0	1	2	0	0		0.0
beautiful	0	0	0	2	0	0	2	0	0	4	1	0		0.0
some	0	0	0	0	2	0	0	2	0	4	1	0		0.0
board	0	0	0	0	1	0	0	0	1	2	1	0		0.0
jobs	1	0	0	0	0	1	0	0	0	2	0	0		0.0
naughty	0	0	0	0	1	0	0	0	1	2	0	0		0.0
it	3	3	0	1	1	2	2	0	2	14	4	0		0.0
gospel	1	0	0	0	0	0	2	0	0	3	2	0		0.0
now	3	3	1	2	2	1	3	2	3	20	5	0		0.0
#goodnight	0	0	0	1	0	2	0	0	0	3	1	0		0.0
daddy	0	0	0	1	2	0	0	0	0	3	3	0		0.0
go	0	0	2	1	1	5	1	2	2	14	5	0		0.0
yes!	0	0	0	0	0	1	0	1	0	2	1	0		0.0
#news	0	1	0	2	0	0	0	0	0	3	2	0		0.0
understand	1	1	0	0	0	0	0	0	0	2	0	0		0.0
#focus	0	0	1	0	0	0	1	0	0	2	2	0		0.0
benedict	0	0	0	1	1	0	0	0	0	2	0	0		0.0
meal	0	1	0	1	0	0	0	0	0	2	1	0		0.0
jessica	0	0	0	0	1	1	0	0	0	2	1	0		0.0
info	0	0	1	0	0	1	0	0	0	2	0	0		0.0
days	2	0	2	1	2	0	1	0	0	8	4	0		0.0
cumberbatch	0	0	0	1	1	0	0	0	0	2	0	0		0.0
celebrate	0	1	0	0	1	0	0	0	0	2	0	0		0.0
ask	1	0	0	0	1	0	0	0	0	2	1	0		0.0
tell	1	1	0	0	0	1	1	0	2	6	1	0		0.0
gotta	1	0	0	0	0	1	0	0	0	2	1	0		0.0
spooky	0	1	0	0	1	0	0	0	0	2	0	0		0.0
direct	0	1	0	0	0	0	1	1	0	3	0	0		0.0
pub	1	0	1	0	0	0	0	0	0	2	1	0		0.0
kar	0	0	1	0	1	0	0	1	0	3	1	0		0.0
wont	1	1	0	0	1	0	0	2	2	7	1	0		0.0
not	8	11	1	2	13	3	4	11	15	68	19	0		0.0
guys	1	0	0	0	0	1	1	1	0	4	2	0		0.0
he	1	0	0	0	0	0	0	0	1	2	1	0		0.0
grown	0	1	0	0	0	0	0	0	2	3	2	0		0.0
#beauty	0	1	1	0	0	0	0	0	0	2	1	0		0.0
el	0	0	1	0	0	0	1	0	0	2	1	0		0.0
coming	1	1	1	0	0	0	0	0	1	4	1	0		0.0
found	0	0	0	0	1	1	1	0	0	3	2	0		0.0
wet	0	0	1	1	0	0	0	0	0	2	1	0		0.0
inside	0	0	0	1	0	0	0	1	0	2	1	0		0.0
scientific	0	0	1	0	1	0	0	0	0	2	1	0		0.0
id	0	0	1	0	0	0	0	1	0	2	0	0		0.0
blessings	0	1	0	0	0	0	2	0	0	3	2	0		0.0
show	2	2	0	1	1	1	0	1	1	9	1	0		0.0
lol	0	1	1	1	2	0	1	0	3	9	3	0		0.0
marriage	1	0	0	0	2	0	0	0	0	3	0	0		0.0
above	0	0	0	1	0	0	1	0	0	2	2	0		0.0
north	1	0	2	0	0	0	0	0	0	3	1	0		0.0
mission	0	1	0	0	0	1	1	0	0	3	1	0		0.0
course	0	0	0	0	0	0	1	0	1	2	1	0		0.0
fire	0	0	1	0	0	0	0	1	0	2	0	0		0.0
ur	0	0	0	0	0	1	0	1	0	2	1	0		0.0
bitches	0	0	0	0	2	0	0	1	1	4	1	0		0.0
mark	0	1	0	0	0	1	0	0	1	3	2	0		0.0
they	1	0	0	0	0	0	1	1	0	3	0	0		0.0
aging	0	0	1	0	0	0	1	0	0	2	0	0		0.0
#lost	1	0	0	0	1	0	0	0	0	2	0	0		0.0
watching	0	0	0	0	0	1	2	0	0	3	0	0		0.0
and	1	2	0	2	0	0	0	1	1	7	2	0		0.0
top	0	0	0	2	2	1	0	0	0	5	2	0		0.0
forgot	0	1	0	0	1	0	0	0	0	2	0	0		0.0
sold	1	0	0	0	0	0	0	1	0	2	0	0		0.0
nt	2	2	1	2	3	0	3	2	1	16	4	0		0.0
admit	0	0	0	0	1	0	0	0	1	2	0	0		0.0
